airport_id,name,city,country,iata,latitude,longitude
3166,Takhli Airport,Nakhon Sawan,Thailand,TKH,15.277299881,100.29599762
3167,Sak Long Airport,Phetchabun,Thailand,\N,16.82430076599121,101.2509994506836
3169,Nakhon Sawan Airport,Nakhon Sawan,Thailand,\N,15.67300033569336,100.13700103759766
3170,Phitsanulok Airport,Phitsanulok,Thailand,PHS,16.782899856567383,100.27899932861328
3171,Khunan Phumipol Airport,Tak,Thailand,\N,17.23419952392578,99.05789947509766
3172,Khoun Khan Airport,Satun,Thailand,\N,6.661399841308594,100.08000183105467
3173,Narathiwat Airport,Narathiwat,Thailand,NAW,6.519919872283936,101.74299621582033
3174,Krabi Airport,Krabi,Thailand,KBV,8.09912014008,98.9861984253
3175,Songkhla Airport,Songkhla,Thailand,SGZ,7.186560153961182,100.60800170898438
3176,Pattani Airport,Pattani,Thailand,PAN,6.785459995269775,101.15399932861328
3177,Samui Airport,Ko Samui,Thailand,USM,9.547789573669998,100.06199646
3178,Cha Eian Airport,Nakhon Si Thammarat,Thailand,\N,8.47115039825,99.9555969238
3179,Phuket International Airport,Phuket,Thailand,HKT,8.1132,98.316902
3180,Ranong Airport,Ranong,Thailand,UNN,9.777620315551758,98.58550262451172
3181,Hat Yai International Airport,Hat Yai,Thailand,HDY,6.93320989609,100.392997742
3182,Trang Airport,Trang,Thailand,TST,7.508739948272705,99.6166000366211
3183,Udon Thani Airport,Udon Thani,Thailand,UTH,17.386400222800003,102.788002014
3184,Sakon Nakhon Airport,Sakon Nakhon,Thailand,SNO,17.195100784301758,104.11900329589844
3185,Surin Airport,Surin,Thailand,PXR,14.868300437927,103.49800109863
3186,Loei Airport,Loei,Thailand,LOE,17.43910026550293,101.72200012207033
3187,Khorat Airport,Nakhon Ratchasima,Thailand,\N,14.9344997406,102.07900238
3188,Rob Muang Airport,Roi Et,Thailand,\N,16.07040023803711,103.64600372314452
3196,Da Nang International Airport,Danang,Vietnam,DAD,16.043899536132812,108.1989974975586
3197,Gia Lam Air Base,Hanoi,Vietnam,\N,21.04050064086914,105.88600158691406
3198,Kep Air Base,Kep,Vietnam,\N,21.3945999146,106.261001587
3199,Noi Bai International Airport,Hanoi,Vietnam,HAN,21.221200942993164,105.80699920654295
3200,Nha Trang Air Base,Nhatrang,Vietnam,NHA,12.2275,109.192001
3201,Phu Bai Airport,Hue,Vietnam,HUI,16.401500701899998,107.70300293
3204,Phu Quoc International Airport,Phuquoc,Vietnam,PQC,10.1698,103.9931
3205,Tan Son Nhat International Airport,Ho Chi Minh City,Vietnam,SGN,10.8187999725,106.652000427
3240,Hasanuddin International Airport,Ujung Pandang,Indonesia,UPG,-5.061629772186279,119.5540008544922
3241,Frans Kaisiepo Airport,Biak,Indonesia,BIK,-1.190019965171814,136.10800170898438
3242,Nabire Airport,Nabire,Indonesia,NBX,-3.36818,135.496002
